system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,NDVI,class,.geo
2_87_0,0.2237,0.1601,0.0737,0.0937,0.1042,0.1397,0.2036,0.2627,0.2424,0.39873055,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.52903611697907,32.692702545311185]}"
2_88_0,0.2725,0.1624,0.0633,0.0976,0.0789,0.1479,0.2526,0.345,0.3637,0.6434704,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.51268677880809,32.705548453874094]}"
2_89_0,0.2237,0.1292,0.0568,0.086,0.0708,0.1304,0.2458,0.3286,0.3641,0.6744079,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.53846842746232,32.71111800863564]}"
2_90_0,0.213,0.1293,0.0533,0.0803,0.0607,0.1193,0.2549,0.3736,0.4103,0.7422505,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.54251084624086,32.740403086897935]}"
2_91_0,0.2215,0.1587,0.0608,0.0902,0.0742,0.1323,0.235,0.3259,0.3296,0.63249135,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.53523449243949,32.75163202794943]}"
2_92_0,0.2843,0.2045,0.0904,0.1256,0.1472,0.1763,0.2565,0.2763,0.312,0.35888502,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.52732931793923,32.77741367660366]}"
2_93_0,0.2914,0.1975,0.069,0.0998,0.1302,0.1543,0.2505,0.3051,0.3205,0.42223206,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.46938798211353,32.776156035205894]}"
2_94_0,0.326,0.2742,0.0946,0.1298,0.161,0.2029,0.2533,0.277,0.294,0.2923077,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.48133557539232,32.80472246124089]}"
2_95_0,0.3633,0.2877,0.1013,0.1456,0.1838,0.2227,0.2767,0.2953,0.2972,0.23575884,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.50397312055213,32.8017580208033]}"
2_96_0,0.2636,0.1631,0.0762,0.1021,0.1064,0.1426,0.297,0.3219,0.3436,0.5271111,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.51610037688775,32.82035314718457]}"
2_97_0,0.22485,0.1477,0.0605,0.08105,0.0828,0.12105,0.24585,0.30505,0.3201,0.5889799,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.28909610459074,32.772113616427355]}"
2_98_0,0.2455,0.1815,0.0743,0.0985,0.1074,0.1314,0.1844,0.2076,0.2086,0.32025316,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.2481329276349,32.77534755145018]}"
2_99_0,0.2271,0.1227,0.0499,0.0763,0.0807,0.1322,0.2464,0.3386,0.3672,0.6396517,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.13036836816867,32.63655784005372]}"
